p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,method,referee,winner,event_date,p1_SIG_STR_LANDED,p1_SIG_STR_ATTEMPTED,p2_SIG_STR_LANDED,p2_SIG_STR_ATTEMPTED,p1_TOTAL_STR_LANDED,p1_TOTAL_STR_ATTEMPTED,p2_TOTAL_STR_LANDED,p2_TOTAL_STR_ATTEMPTED,p1_TD_LANDED,p1_TD_ATTEMPTED,p2_TD_LANDED,p2_TD_ATTEMPTED,p1_R1_SIG_STR_LANDED,p1_R1_SIG_STR_ATTEMPTED,p2_R1_SIG_STR_LANDED,p2_R1_SIG_STR_ATTEMPTED,p1_R1_TOTAL_STR_LANDED,p1_R1_TOTAL_STR_ATTEMPTED,p2_R1_TOTAL_STR_LANDED,p2_R1_TOTAL_STR_ATTEMPTED,p1_R1_TD_LANDED,p1_R1_TD_ATTEMPTED,p2_R1_TD_LANDED,p2_R1_TD_ATTEMPTED,p1_HEAD_LANDED,p1_HEAD_ATTEMPTED,p2_HEAD_LANDED,p2_HEAD_ATTEMPTED,p1_BODY_LANDED,p1_BODY_ATTEMPTED,p2_BODY_LANDED,p2_BODY_ATTEMPTED,p1_LEG_LANDED,p1_LEG_ATTEMPTED,p2_LEG_LANDED,p2_LEG_ATTEMPTED,p1_DISTANCE_LANDED,p1_DISTANCE_ATTEMPTED,p2_DISTANCE_LANDED,p2_DISTANCE_ATTEMPTED,p1_CLINCH_LANDED,p1_CLINCH_ATTEMPTED,p2_CLINCH_LANDED,p2_CLINCH_ATTEMPTED,p1_GROUND_LANDED,p1_GROUND_ATTEMPTED,p2_GROUND_LANDED,p2_GROUND_ATTEMPTED,p1_R1_HEAD_LANDED,p1_R1_HEAD_ATTEMPTED,p2_R1_HEAD_LANDED,p2_R1_HEAD_ATTEMPTED,p1_R1_BODY_LANDED,p1_R1_BODY_ATTEMPTED,p2_R1_BODY_LANDED,p2_R1_BODY_ATTEMPTED,p1_R1_LEG_LANDED,p1_R1_LEG_ATTEMPTED,p2_R1_LEG_LANDED,p2_R1_LEG_ATTEMPTED,p1_R1_DISTANCE_LANDED,p1_R1_DISTANCE_ATTEMPTED,p2_R1_DISTANCE_LANDED,p2_R1_DISTANCE_ATTEMPTED,p1_R1_CLINCH_LANDED,p1_R1_CLINCH_ATTEMPTED,p2_R1_CLINCH_LANDED,p2_R1_CLINCH_ATTEMPTED,p1_R1_GROUND_LANDED,p1_R1_GROUND_ATTEMPTED,p2_R1_GROUND_LANDED,p2_R1_GROUND_ATTEMPTED,p1_height,p1_weight,p1_reach,p1_stance,p1_dob,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_dob,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.
Mark De La Rosa,Joby Sanchez,0,0,0.39,0.44,0.0,0.0,0,0,0,0,113,80,0,0,0.38,0.46,0.0,,0,0,0,0,47,12,0.39,0.44,0.38,0.46,Decision - Split,Tim Mills,1,2018-11-10,66,167,55,124,68,169,85,155,0,7,0,1,23,60,19,41,23,60,19,41,0,1,0,0,34,131,45,111,13,14,9,12,19,22,1,1,53,145,51,117,13,22,4,7,0,0,0,0,10,46,17,39,3,3,2,2,10,11,0,0,21,53,18,39,2,7,1,2,0,0,0,0,66.0,135.0,65.0,Orthodox,1994-08-31,3.13,0.35,5.00,0.48,0.54,0.13,0.4,0.2,66.0,135.0,68.0,Orthodox,1991-06-24,3.22,0.36,2.82,0.63,0.95,0.71,0.51,0.4
Daniel Cormier,Derrick Lewis,0,0,0.76,0.3,1.0,,1,0,0,0,310,0,0,0,0.73,1.0,1.0,,0,0,0,0,250,0,0.76,0.3,0.73,1.0,Submission,Herb Dean,1,2018-11-03,19,25,4,13,42,54,5,14,4,4,0,0,14,19,3,3,35,45,4,4,2,2,0,0,16,22,2,9,2,2,1,3,1,1,1,1,4,6,4,13,1,1,0,0,14,18,0,0,13,18,1,1,0,0,1,1,1,1,1,1,1,3,3,3,0,0,0,0,13,16,0,0,71.0,235.0,72.0,Orthodox,1979-03-20,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4,75.0,260.0,79.0,Orthodox,1985-02-07,2.48,0.5,2.48,0.4,0.57,0.26,0.52,0.0
Chris Weidman,Jacare Souza,0,1,0.35,0.56,1.0,,0,0,0,0,43,7,0,0,0.33,0.46,,,0,0,0,0,0,0,0.35,0.56,0.33,0.46,KO/TKO,Dan Miragliotta,0,2018-11-03,68,193,74,132,76,201,100,158,1,1,0,0,23,68,14,30,23,68,15,31,0,0,0,0,52,171,42,89,14,20,24,31,2,2,8,12,61,182,57,109,7,11,15,21,0,0,2,2,21,65,5,16,2,3,5,7,0,0,4,7,21,66,11,27,2,2,3,3,0,0,0,0,74.0,185.0,78.0,Orthodox,1984-06-17,3.11,0.45,3.37,0.51,3.27,0.42,0.72,0.8,73.0,185.0,72.0,Orthodox,1979-12-07,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3
David Branch,Jared Cannonier,0,1,0.4,0.46,0.3,,0,0,0,0,119,42,0,0,0.42,0.37,0.33,,0,0,0,0,119,28,0.4,0.46,0.42,0.37,KO/TKO,Keith Peterson,0,2018-11-03,10,25,26,56,13,28,31,61,3,10,0,0,9,21,13,35,12,24,17,39,3,9,0,0,8,21,22,52,0,1,2,2,2,3,2,2,8,21,5,28,1,1,11,14,1,3,10,14,7,18,10,32,0,0,2,2,2,3,1,1,8,18,2,21,0,0,11,14,1,3,0,0,73.0,185.0,78.0,Orthodox,1981-09-26,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0,71.0,185.0,77.0,Switch,1984-03-16,4.60,0.5,4.49,0.56,0.46,0.44,0.64,0.0
Karl Roberson,Jack Marshman,0,0,0.47,0.21,0.66,,0,0,0,0,306,0,0,0,0.46,0.25,0.0,,0,0,0,0,18,0,0.47,0.21,0.46,0.25,Decision - Unanimous,Yves Lavigne,1,2018-11-03,34,71,21,98,90,135,30,108,2,3,0,0,15,32,13,52,15,32,16,55,0,1,0,0,24,58,12,80,6,8,3,5,4,5,6,13,24,57,19,95,5,7,2,3,5,7,0,0,6,23,8,42,6,6,2,2,3,3,3,8,10,25,11,50,5,7,2,2,0,0,0,0,73.0,205.0,74.0,Southpaw,1990-10-04,2.57,0.51,2.42,0.57,0.72,0.4,0.4,0.5,72.0,185.0,73.0,Orthodox,1989-12-19,2.74,0.25,4.19,0.56,0.00,0.0,0.2,0.0
Derek Brunson,Israel Adesanya,0,3,0.21,0.56,0.0,,0,0,0,0,95,10,0,3,0.21,0.56,0.0,,0,0,0,0,95,10,0.21,0.56,0.21,0.56,KO/TKO,Herb Dean,0,2018-11-03,3,14,13,23,9,23,15,25,0,7,0,0,3,14,13,23,9,23,15,25,0,7,0,0,2,11,9,16,0,2,3,4,1,1,1,3,2,13,11,19,1,1,2,3,0,0,0,1,2,11,9,16,0,2,3,4,1,1,1,3,2,13,11,19,1,1,2,3,0,0,0,1,73.0,185.0,77.0,Southpaw,1984-01-04,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6,76.0,185.0,80.0,Switch,1989-07-22,4.02,0.48,3.20,0.55,0.05,0.11,0.76,0.1
Jason Knight,Jordan Rinaldi,0,0,0.28,0.5,,0.75,0,2,0,1,12,705,0,0,0.38,0.5,,1.0,0,0,0,0,0,240,0.28,0.5,0.38,0.5,Decision - Unanimous,Dan Miragliotta,0,2018-11-03,12,42,20,40,62,93,98,128,0,0,3,4,10,26,14,28,24,40,29,44,0,0,2,2,5,33,12,29,4,6,2,5,3,3,6,6,8,36,9,18,3,5,0,0,1,1,11,22,4,18,11,24,4,6,1,2,2,2,2,2,6,21,5,8,3,4,0,0,1,1,9,20,70.0,145.0,71.0,Orthodox,1992-07-14,2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7,70.0,145.0,72.0,Orthodox,1987-09-25,1.56,0.35,2.32,0.59,1.45,0.35,0.2,1.2
Sijara Eubanks,Roxanne Modafferi,1,0,0.32,0.23,0.75,0.25,0,0,0,0,358,158,0,0,0.32,0.15,1.0,,0,0,0,0,196,0,0.32,0.23,0.32,0.15,Decision - Unanimous,Keith Peterson,1,2018-11-03,57,175,28,120,81,205,73,174,3,4,1,4,17,52,5,32,29,68,28,58,2,2,0,0,44,157,27,118,9,14,0,1,4,4,1,1,44,151,28,120,3,4,0,0,10,20,0,0,10,43,5,32,3,5,0,0,4,4,0,0,14,42,5,32,0,0,0,0,3,10,0,0,64.0,125.0,67.0,Orthodox,1985-04-27,4.30,0.43,3.43,0.57,1.90,0.44,0.66,0.3,67.0,125.0,69.0,Orthodox,1982-09-24,3.35,0.3,5.70,0.51,1.35,0.23,0.3,0.1
Julio Arce,Sheymon Moraes,0,2,0.21,0.31,0.2,,2,0,0,0,251,98,0,1,0.16,0.41,0.0,,2,0,0,0,201,42,0.21,0.31,0.16,0.41,Decision - Split,Yves Lavigne,0,2018-11-03,25,119,32,102,46,145,35,105,1,5,0,0,2,12,7,17,22,37,8,18,0,3,0,0,16,97,22,83,9,21,9,18,0,1,1,1,23,114,16,69,2,5,9,13,0,0,7,20,2,12,6,16,0,0,1,1,0,0,0,0,1,11,1,2,1,1,1,1,0,0,5,14,67.0,145.0,70.0,Southpaw,1989-10-27,4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3,68.0,145.0,72.0,Orthodox,1990-10-11,3.00,0.42,3.64,0.63,0.00,0.0,0.53,0.0
Lyman Good,Ben Saunders,1,0,0.63,0.52,,,0,0,0,0,5,0,1,0,0.63,0.52,,,0,0,0,0,5,0,0.63,0.52,0.63,0.52,KO/TKO,Herb Dean,1,2018-11-03,14,22,12,23,17,25,12,23,0,0,0,0,14,22,12,23,17,25,12,23,0,0,0,0,10,16,2,8,2,3,10,15,2,3,0,0,2,9,5,12,9,10,7,11,3,3,0,0,10,16,2,8,2,3,10,15,2,3,0,0,2,9,5,12,9,10,7,11,3,3,0,0,72.0,170.0,74.0,Orthodox,1985-05-26,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,74.0,170.0,77.0,Orthodox,1983-04-13,3.23,0.5,3.58,0.51,0.20,0.4,0.66,1.3
Matt Frevola,Lando Vannata,0,2,0.37,0.4,0.33,0.2,1,1,1,0,42,20,0,1,0.46,0.33,0.0,0.0,1,0,1,0,13,6,0.37,0.4,0.46,0.33,Decision - Majority,Dan Miragliotta,0,2018-11-03,66,176,67,164,66,177,80,177,2,6,1,5,25,54,15,45,25,54,18,48,0,1,0,3,43,134,38,124,10,26,16,24,13,16,13,16,59,165,62,154,7,11,3,7,0,0,2,3,18,41,6,34,5,10,3,4,2,3,6,7,23,50,14,41,2,4,1,3,0,0,0,1,69.0,155.0,71.0,Orthodox,1990-06-11,3.37,0.4,3.69,0.57,2.39,0.39,0.36,1.0,69.0,155.0,71.0,Orthodox,1992-03-14,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3
Shane Burgos,Kurt Holobaugh,0,1,0.7,0.41,,,1,0,0,0,0,13,0,1,0.7,0.41,,,1,0,0,0,0,13,0.7,0.41,0.7,0.41,Submission,Yves Lavigne,1,2018-11-03,17,24,21,51,17,24,26,57,0,0,0,0,17,24,21,51,17,24,26,57,0,0,0,0,13,19,14,40,2,3,1,2,2,2,6,9,17,24,19,48,0,0,1,2,0,0,1,1,13,19,14,40,2,3,1,2,2,2,6,9,17,24,19,48,0,0,1,2,0,0,1,1,71.0,145.0,75.0,Orthodox,1991-03-19,7.40,0.52,6.78,0.56,0.43,0.44,0.91,0.4,71.0,155.0,70.0,Orthodox,1986-09-08,4.65,0.45,4.30,0.49,0.66,0.33,0.39,0.8
Adam Wieczorek,Marcos Rogerio de Lima,0,0,0.18,0.47,0.5,0.6,0,0,0,0,135,501,0,0,0.0,0.46,1.0,1.0,0,0,0,0,61,197,0.18,0.47,0.0,0.46,Decision - Unanimous,Dan Miragliotta,0,2018-11-03,7,38,28,59,31,65,70,112,1,2,3,5,0,4,7,15,1,5,31,47,1,1,1,1,3,28,18,47,2,6,2,4,2,4,8,8,7,37,16,36,0,1,4,6,0,0,8,17,0,2,6,14,0,1,0,0,0,1,1,1,0,4,1,4,0,0,0,0,0,0,6,11,77.0,250.0,81.0,Orthodox,1992-02-05,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,73.0,253.0,75.0,Orthodox,1985-06-25,3.70,0.57,2.90,0.51,1.40,0.45,0.59,0.5
Volkan Oezdemir,Anthony Smith,0,0,0.52,0.53,1.0,0.33,0,2,0,0,296,89,0,0,0.5,0.53,,0.0,0,0,0,0,71,6,0.52,0.53,0.5,0.53,Submission,Yves Lavigne,0,2018-10-27,77,148,63,117,103,175,67,121,1,1,1,3,27,54,26,49,45,73,28,51,0,0,0,2,48,114,41,88,10,12,16,23,19,22,6,6,45,101,48,98,9,16,14,18,23,31,1,1,16,40,12,30,3,4,9,14,8,10,5,5,26,51,16,36,1,3,10,13,0,0,0,0,74.0,205.0,75.0,Orthodox,1989-09-19,4.95,0.48,4.22,0.55,0.50,0.29,0.8,0.1,76.0,205.0,76.0,Orthodox,1988-07-26,3.19,0.49,5.04,0.44,0.44,0.22,0.5,0.6
Michael Johnson,Artem Lobov,0,0,0.45,0.35,1.0,,0,0,0,0,39,0,0,0,0.48,0.39,,,0,0,0,0,0,0,0.45,0.35,0.48,0.39,Decision - Unanimous,Jerin Valel,1,2018-10-27,99,219,67,189,101,222,67,189,1,1,0,0,26,54,22,56,26,54,22,56,0,0,0,0,46,147,29,141,35,51,12,18,18,21,26,30,98,216,66,186,0,1,1,3,1,2,0,0,9,32,3,33,12,16,5,8,5,6,14,15,26,53,21,53,0,1,1,3,0,0,0,0,70.0,155.0,73.0,Southpaw,1986-06-04,4.23,0.39,3.80,0.58,0.61,0.4,0.81,0.0,69.0,145.0,65.0,Southpaw,1986-08-11,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0
Misha Cirkunov,Patrick Cummins,0,0,0.61,0.6,1.0,0.0,2,0,0,0,39,86,0,0,0.61,0.6,1.0,0.0,2,0,0,0,39,86,0.61,0.6,0.61,0.6,Submission,Yves Lavigne,1,2018-10-27,11,18,3,5,65,72,6,8,1,1,0,3,11,18,3,5,65,72,6,8,1,1,0,3,2,6,0,1,9,12,3,4,0,0,0,0,1,5,0,1,9,12,3,4,1,1,0,0,2,6,0,1,9,12,3,4,0,0,0,0,1,5,0,1,9,12,3,4,1,1,0,0,75.0,205.0,77.0,Orthodox,1987-02-27,3.86,0.51,3.06,0.57,4.15,0.39,0.76,1.7,74.0,205.0,76.0,Orthodox,1980-11-16,4.26,0.5,3.35,0.55,4.49,0.41,0.28,0.1
Andre Soukhamthath,Jonathan Martinez,2,0,0.57,0.63,1.0,0.5,1,0,0,0,267,300,2,0,0.55,0.43,,,0,0,0,0,113,20,0.57,0.63,0.55,0.43,Decision - Unanimous,Jerin Valel,1,2018-10-27,79,138,71,111,98,157,88,128,3,3,1,2,33,59,17,39,47,73,18,40,0,0,0,0,29,85,36,67,42,45,27,33,8,8,8,11,30,73,24,59,45,60,18,19,4,5,29,33,12,36,7,22,14,16,7,11,7,7,3,6,15,38,16,37,14,16,1,2,4,5,0,0,69.0,135.0,70.0,Orthodox,1988-10-23,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2,68.0,135.0,70.0,Southpaw,1994-04-20,4.44,0.49,4.09,0.56,0.38,0.35,0.68,0.1
Gian Villante,Ed Herman,0,0,0.37,0.37,0.0,0.0,0,0,0,0,4,6,0,0,0.38,0.3,,,0,0,0,0,0,0,0.37,0.37,0.38,0.3,Decision - Split,Yves Lavigne,1,2018-10-27,81,217,84,223,81,217,85,224,0,1,0,1,26,68,24,78,26,68,24,78,0,0,0,0,69,201,63,190,8,12,7,17,4,4,14,16,81,216,83,218,0,1,1,3,0,0,0,2,21,62,17,69,4,5,3,4,1,1,4,5,26,68,24,78,0,0,0,0,0,0,0,0,75.0,230.0,76.0,Orthodox,1985-08-18,4.38,0.44,5.47,0.55,0.45,0.23,0.83,0.0,73.0,205.0,77.0,Orthodox,1980-10-02,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0
Alex Garcia,Court McGee,0,1,0.45,0.57,0.25,0.33,0,0,0,1,186,397,0,0,0.31,0.42,0.0,0.33,0,0,0,0,89,9,0.45,0.57,0.31,0.42,Decision - Unanimous,Jerin Valel,0,2018-10-27,27,60,51,88,39,73,111,154,1,4,2,6,9,29,15,35,13,33,22,44,0,1,1,3,17,50,32,65,4,4,9,13,6,6,10,10,14,41,24,53,10,13,1,6,3,6,26,29,4,24,6,23,0,0,3,6,5,5,6,6,4,23,14,33,5,6,1,2,0,0,0,0,69.0,170.0,72.0,Orthodox,1987-07-14,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,71.0,170.0,75.0,Orthodox,1984-12-12,4.60,0.37,3.59,0.61,1.87,0.25,0.69,0.5
Nordine Taleb,Sean Strickland,0,1,0.5,0.36,,,0,0,0,0,0,37,0,0,0.56,0.24,,,0,0,0,0,0,0,0.5,0.36,0.56,0.24,KO/TKO,Eric Nevitt,0,2018-10-27,48,95,65,177,49,96,68,180,0,0,0,0,35,62,23,93,35,62,23,93,0,0,0,0,11,47,60,172,12,23,4,4,25,25,1,1,48,94,51,152,0,1,3,5,0,0,11,20,9,33,21,91,9,12,2,2,17,17,0,0,35,62,23,93,0,0,0,0,0,0,0,0,73.0,170.0,74.0,Orthodox,1981-06-10,3.66,0.51,2.62,0.66,1.94,0.76,0.73,0.0,73.0,185.0,76.0,Orthodox,1991-02-27,5.95,0.42,4.57,0.6,0.73,0.64,0.76,0.2
Thibault Gouti,Nasrat Haqparast,0,1,0.27,0.48,,0.0,0,0,0,0,0,175,0,1,0.26,0.41,,,0,0,0,0,0,2,0.27,0.48,0.26,0.41,Decision - Unanimous,Barry Gallant,0,2018-10-27,78,284,124,256,95,306,148,282,0,0,0,1,25,95,30,73,25,95,30,73,0,0,0,0,56,252,98,217,14,23,20,31,8,9,6,8,78,284,84,181,0,0,15,24,0,0,25,51,15,81,27,69,6,9,2,3,4,5,1,1,25,95,25,66,0,0,2,2,0,0,3,5,70.0,155.0,72.0,Orthodox,1987-02-27,3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3,70.0,155.0,72.0,Southpaw,1995-08-22,6.40,0.45,6.01,0.63,0.35,0.2,0.84,0.0
Calvin Kattar,Chris Fishgold,1,0,0.5,0.26,,0.5,0,0,0,0,5,34,1,0,0.5,0.26,,0.5,0,0,0,0,5,34,0.5,0.26,0.5,0.26,KO/TKO,Yves Lavigne,1,2018-10-27,24,48,20,75,29,56,20,75,0,0,1,2,24,48,20,75,29,56,20,75,0,0,1,2,23,47,14,62,1,1,1,4,0,0,5,9,17,35,19,70,0,0,1,5,7,13,0,0,23,47,14,62,1,1,1,4,0,0,5,9,17,35,19,70,0,0,1,5,7,13,0,0,71.0,145.0,72.0,Orthodox,1988-03-26,4.60,0.38,6.62,0.53,0.36,0.29,0.77,0.1,68.0,145.0,68.0,Orthodox,1992-06-06,2.01,0.32,2.70,0.46,2.59,0.46,0.44,1.3
Sarah Moras,Talita Bernardo,0,0,0.38,0.58,0.5,0.33,0,1,0,1,88,424,0,0,0.41,0.54,,0.25,0,0,0,0,29,88,0.38,0.58,0.41,0.54,Decision - Unanimous,Eric Nevitt,0,2018-10-27,37,95,60,102,78,142,86,130,1,2,2,6,14,34,25,46,30,53,30,52,0,0,1,4,36,92,36,78,1,3,9,9,0,0,15,15,26,79,49,90,3,6,3,3,8,10,8,9,14,33,11,32,0,1,5,5,0,0,9,9,10,30,22,42,2,2,2,2,2,2,1,2,67.0,135.0,67.0,Orthodox,1988-04-30,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8,64.0,135.0,68.0,Orthodox,1987-03-04,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5
Te Edwards,Don Madge,0,2,0.33,0.67,1.0,,0,1,0,0,228,32,0,1,0.33,0.62,1.0,,0,1,0,0,228,30,0.33,0.67,0.33,0.62,KO/TKO,Barry Gallant,0,2018-10-27,5,15,21,31,6,16,42,53,1,1,0,0,5,15,15,24,6,16,36,46,1,1,0,0,4,14,14,23,1,1,6,7,0,0,1,1,5,13,12,22,0,0,3,3,0,2,6,6,4,14,9,17,1,1,5,6,0,0,1,1,5,13,8,17,0,0,3,3,0,2,4,4,68.0,155.0,72.0,Orthodox,1990-09-11,1.50,0.41,4.15,0.44,0.72,1.0,0.44,0.0,72.0,155.0,72.0,Southpaw,1990-11-12,2.08,0.52,0.74,0.67,2.22,0.25,0.8,0.7
Arjan Bhullar,Marcelo Golm,0,0,0.55,0.49,0.5,0.0,0,0,0,0,417,28,0,0,0.56,0.51,,,0,0,0,0,38,0,0.55,0.49,0.56,0.51,Decision - Unanimous,Eric Nevitt,1,2018-10-27,47,84,43,87,99,140,59,103,1,2,0,1,21,37,23,45,26,42,25,47,0,0,0,0,40,76,17,57,4,4,10,13,3,4,16,17,26,55,34,77,12,18,9,10,9,11,0,0,19,35,8,29,2,2,3,4,0,0,12,12,17,32,20,41,4,5,3,4,0,0,0,0,73.0,245.0,75.0,Orthodox,1986-05-13,2.33,0.56,3.25,0.59,1.73,0.75,1.0,0.0,75.0,249.0,75.0,Orthodox,1992-09-15,4.27,0.58,4.30,0.45,0.45,0.5,0.87,0.5
Stevie Ray,Jessin Ayari,0,0,0.43,0.45,,,0,0,0,0,0,6,0,0,0.46,0.56,,,0,0,0,0,0,5,0.43,0.45,0.46,0.56,Decision - Unanimous,Barry Gallant,1,2018-10-27,75,174,63,138,75,174,64,139,0,0,0,0,19,41,17,30,19,41,17,30,0,0,0,0,23,107,49,121,6,11,7,9,46,56,7,8,72,171,60,131,3,3,3,7,0,0,0,0,5,21,13,26,2,4,2,2,12,16,2,2,17,39,15,28,2,2,2,2,0,0,0,0,70.0,155.0,70.0,Southpaw,1990-03-25,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6,72.0,155.0,73.0,Orthodox,1992-05-31,3.53,0.37,3.59,0.58,0.00,0.0,0.5,0.3
Khabib Nurmagomedov,Conor McGregor,0,0,0.58,0.62,0.42,,1,0,0,0,735,0,0,0,0.77,0.85,0.5,,0,0,0,0,248,0,0.58,0.62,0.77,0.85,Submission,Herb Dean,1,2018-10-06,70,119,51,81,104,157,96,128,3,7,0,0,7,9,6,7,18,21,39,40,1,2,0,0,58,105,34,60,11,13,16,19,1,1,1,2,24,53,35,65,1,3,10,10,45,63,6,6,7,8,6,6,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,7,8,5,5,70.0,155.0,70.0,Orthodox,1988-09-20,4.10,0.48,1.75,0.65,5.32,0.48,0.84,0.8,69.0,155.0,74.0,Southpaw,1988-07-14,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1
Tony Ferguson,Anthony Pettis,0,1,0.58,0.45,,,0,0,0,0,4,71,0,0,0.57,0.36,,,0,0,0,0,0,0,0.58,0.45,0.57,0.36,KO/TKO,Jason Herzog,1,2018-10-06,114,194,45,99,115,195,49,104,0,0,0,0,49,85,18,49,49,85,18,49,0,0,0,0,66,131,32,80,21,32,9,13,27,31,4,6,106,181,38,90,4,7,2,3,4,6,5,6,21,52,8,35,8,13,6,8,20,20,4,6,49,82,18,48,0,3,0,1,0,0,0,0,71.0,170.0,76.0,Orthodox,1984-02-12,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9,70.0,155.0,72.0,Orthodox,1987-01-27,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1
Ovince Saint Preux,Dominick Reyes,0,1,0.53,0.66,0.11,0.0,0,0,0,0,93,86,0,0,0.53,0.75,0.2,,0,0,0,0,61,30,0.53,0.66,0.53,0.75,Decision - Unanimous,Dan Miragliotta,0,2018-10-06,38,71,94,142,39,72,101,150,1,9,0,2,8,15,52,69,8,15,55,73,1,5,0,0,23,52,48,87,9,12,21,28,6,7,25,27,37,69,67,111,1,2,27,31,0,0,0,0,5,12,33,48,1,1,12,13,2,2,7,8,8,15,29,43,0,0,23,26,0,0,0,0,75.0,205.0,80.0,Southpaw,1983-04-08,3.03,0.47,3.33,0.47,1.09,0.36,0.67,0.5,76.0,205.0,77.0,Southpaw,1989-12-26,5.58,0.54,3.54,0.5,0.31,0.28,0.82,0.3
Derrick Lewis,Alexander Volkov,1,0,0.55,0.7,0.0,0.5,0,0,1,0,43,106,0,0,0.57,0.7,0.0,1.0,0,0,1,0,38,99,0.55,0.7,0.57,0.7,KO/TKO,Herb Dean,1,2018-10-06,39,70,121,171,40,71,133,183,0,2,1,2,15,26,40,57,16,27,52,69,0,1,1,1,31,61,78,122,6,7,29,33,2,2,14,16,21,47,88,129,1,3,20,29,17,20,13,13,13,24,27,42,1,1,11,12,1,1,2,3,6,13,16,28,0,1,12,17,9,12,12,12,75.0,260.0,79.0,Orthodox,1985-02-07,2.48,0.5,2.48,0.4,0.57,0.26,0.52,0.0,79.0,250.0,80.0,Orthodox,1988-10-24,4.97,0.57,2.99,0.54,0.61,0.66,0.72,0.2
Michelle Waterson-Gomez,Felice Herrig,0,0,0.71,0.51,0.0,0.25,0,0,0,0,169,358,0,0,0.51,0.45,,0.0,0,0,0,0,0,104,0.71,0.51,0.51,0.45,Decision - Unanimous,Jason Herzog,1,2018-10-06,76,107,51,100,131,163,70,126,0,4,1,4,17,33,23,51,24,40,27,55,0,0,0,1,47,73,15,51,26,29,26,36,3,5,10,13,16,41,19,60,34,38,30,37,26,28,2,3,9,22,6,24,6,7,12,19,2,4,5,8,8,23,12,39,9,10,11,12,0,0,0,0,63.0,115.0,62.0,Orthodox,1986-01-06,3.42,0.46,4.25,0.48,1.39,0.33,0.69,0.6,64.0,115.0,65.0,Orthodox,1984-09-18,3.84,0.37,5.19,0.48,1.08,0.28,0.75,0.8
Sergio Pettis,Jussier Formiga,0,0,0.3,0.48,,0.4,0,0,0,0,0,446,0,0,0.33,0.4,,0.5,0,0,0,0,0,87,0.3,0.48,0.33,0.4,Decision - Unanimous,Herb Dean,0,2018-10-06,30,97,18,37,91,161,90,123,0,0,2,5,17,51,10,25,43,77,20,36,0,0,1,2,23,86,17,36,3,5,0,0,4,6,1,1,30,93,16,34,0,0,0,1,0,4,2,2,10,42,10,25,3,4,0,0,4,5,0,0,17,50,9,23,0,0,0,1,0,1,1,1,66.0,125.0,69.0,Orthodox,1993-08-18,3.88,0.37,2.91,0.65,0.85,0.4,0.67,0.4,65.0,125.0,67.0,Orthodox,1985-04-14,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6
